TimeGenerated,Computer,EventID,Account,AccountType,LogonType,IpAddress,LogonProcessName,TargetLogonId,SubjectAccount,TargetAccount,TargetServerName,ProcessName,NewProcessName,CommandLine,WorkstationName
2026-07-16T05:23:26.0000000Z,NSH-RSCH-WS042,4624,NORTHSTAR\m.lindqvist,User,3,10.42.26.145,Kerberos,0xA4855BD,NORTHSTAR\m.lindqvist,NORTHSTAR\m.lindqvist,NSH-RSCH-WS042,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS042
2026-07-16T05:37:26.0000000Z,NSH-CLIN-WS011,4624,NORTHSTAR\d.whitfield,User,2,10.42.11.87,Kerberos,0x50EFB5F,NORTHSTAR\d.whitfield,NORTHSTAR\d.whitfield,NSH-CLIN-WS011,C:\Windows\System32\lsass.exe,,,NSH-CLIN-WS011
2026-07-16T05:41:26.0000000Z,NSH-FILE-SRV02,4624,NORTHSTAR\j.okafor,User,3,10.42.21.142,Kerberos,0xB739AA5,NORTHSTAR\j.okafor,NORTHSTAR\j.okafor,NSH-FILE-SRV02,C:\Windows\System32\lsass.exe,,,NSH-FILE-SRV02
2026-07-16T06:11:26.0000000Z,NSH-CLIN-WS011,4624,NORTHSTAR\p.deshmukh,User,2,10.42.18.246,Kerberos,0x1983502,NORTHSTAR\p.deshmukh,NORTHSTAR\p.deshmukh,NSH-CLIN-WS011,C:\Windows\System32\lsass.exe,,,NSH-CLIN-WS011
2026-07-16T06:23:26.0000000Z,NSH-LAB-WS051,4624,NORTHSTAR\t.silvestri,User,10,10.42.12.138,Kerberos,0xB274A73,NORTHSTAR\t.silvestri,NORTHSTAR\t.silvestri,NSH-LAB-WS051,C:\Windows\System32\lsass.exe,,,NSH-LAB-WS051
2026-07-16T06:48:26.0000000Z,NSH-ADMIN-WS031,4624,NORTHSTAR\p.deshmukh,User,3,10.42.19.176,Kerberos,0x2FF5C46,NORTHSTAR\p.deshmukh,NORTHSTAR\p.deshmukh,NSH-ADMIN-WS031,C:\Windows\System32\lsass.exe,,,NSH-ADMIN-WS031
2026-07-16T06:54:26.0000000Z,NSH-CLIN-WS011,4624,NORTHSTAR\p.deshmukh,User,3,10.42.12.27,Kerberos,0x92FF784,NORTHSTAR\p.deshmukh,NORTHSTAR\p.deshmukh,NSH-CLIN-WS011,C:\Windows\System32\lsass.exe,,,NSH-CLIN-WS011
2026-07-16T07:05:26.0000000Z,NSH-LAB-WS051,4624,NORTHSTAR\t.silvestri,User,3,10.42.29.56,Kerberos,0x5630493,NORTHSTAR\t.silvestri,NORTHSTAR\t.silvestri,NSH-LAB-WS051,C:\Windows\System32\lsass.exe,,,NSH-LAB-WS051
2026-07-16T07:12:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\j.okafor,User,3,10.42.37.159,Kerberos,0x75FFAF1,NORTHSTAR\j.okafor,NORTHSTAR\j.okafor,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
2026-07-16T07:13:26.0000000Z,NSH-ADMIN-WS032,4624,NORTHSTAR\k.abebe,User,3,10.42.23.68,Kerberos,0x9D64C72,NORTHSTAR\k.abebe,NORTHSTAR\k.abebe,NSH-ADMIN-WS032,C:\Windows\System32\lsass.exe,,,NSH-ADMIN-WS032
2026-07-16T08:11:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\h.nakamura,User,10,10.42.29.189,Kerberos,0x54D897C,NORTHSTAR\h.nakamura,NORTHSTAR\h.nakamura,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
2026-07-16T08:18:26.0000000Z,NSH-FILE-SRV02,4624,NORTHSTAR\j.okafor,User,10,10.42.34.90,Kerberos,0x381D73E,NORTHSTAR\j.okafor,NORTHSTAR\j.okafor,NSH-FILE-SRV02,C:\Windows\System32\lsass.exe,,,NSH-FILE-SRV02
2026-07-16T08:25:26.0000000Z,NSH-RSCH-SRV07,4624,NORTHSTAR\r.kaur,User,10,10.42.23.199,Kerberos,0xEFAECE8,NORTHSTAR\r.kaur,NORTHSTAR\r.kaur,NSH-RSCH-SRV07,C:\Windows\System32\lsass.exe,,,NSH-RSCH-SRV07
2026-07-16T08:42:26.0000000Z,NSH-CLIN-WS011,4624,NORTHSTAR\k.abebe,User,2,10.42.11.240,Kerberos,0x95A3D4,NORTHSTAR\k.abebe,NORTHSTAR\k.abebe,NSH-CLIN-WS011,C:\Windows\System32\lsass.exe,,,NSH-CLIN-WS011
2026-07-16T08:46:26.0000000Z,NSH-FILE-SRV02,4624,NORTHSTAR\m.lindqvist,User,3,10.42.21.219,Kerberos,0x1963565,NORTHSTAR\m.lindqvist,NORTHSTAR\m.lindqvist,NSH-FILE-SRV02,C:\Windows\System32\lsass.exe,,,NSH-FILE-SRV02
2026-07-16T09:37:26.0000000Z,NSH-CLIN-WS011,4624,NORTHSTAR\h.nakamura,User,3,10.42.36.194,Kerberos,0xAC8552C,NORTHSTAR\h.nakamura,NORTHSTAR\h.nakamura,NSH-CLIN-WS011,C:\Windows\System32\lsass.exe,,,NSH-CLIN-WS011
2026-07-16T09:51:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\a.oyelaran,User,3,10.42.21.164,Kerberos,0x5619293,NORTHSTAR\a.oyelaran,NORTHSTAR\a.oyelaran,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
2026-07-16T09:57:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\a.oyelaran,User,2,10.42.23.177,Kerberos,0x341294E,NORTHSTAR\a.oyelaran,NORTHSTAR\a.oyelaran,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
2026-07-16T09:58:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\d.whitfield,User,3,10.42.35.74,Kerberos,0x18C2E5E,NORTHSTAR\d.whitfield,NORTHSTAR\d.whitfield,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
2026-07-16T10:02:26.0000000Z,NSH-FILE-SRV02,4624,NORTHSTAR\m.lindqvist,User,3,10.42.34.162,Kerberos,0xE806770,NORTHSTAR\m.lindqvist,NORTHSTAR\m.lindqvist,NSH-FILE-SRV02,C:\Windows\System32\lsass.exe,,,NSH-FILE-SRV02
2026-07-16T10:11:26.0000000Z,NSH-RSCH-SRV07,4624,NORTHSTAR\r.kaur,User,3,10.42.18.164,Kerberos,0xCD3690A,NORTHSTAR\r.kaur,NORTHSTAR\r.kaur,NSH-RSCH-SRV07,C:\Windows\System32\lsass.exe,,,NSH-RSCH-SRV07
2026-07-16T10:26:26.0000000Z,NSH-RSCH-WS042,4624,NORTHSTAR\t.silvestri,User,2,10.42.37.12,Kerberos,0x845D703,NORTHSTAR\t.silvestri,NORTHSTAR\t.silvestri,NSH-RSCH-WS042,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS042
2026-07-16T10:43:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\l.moreau,User,3,10.42.27.192,Kerberos,0xB06E016,NORTHSTAR\l.moreau,NORTHSTAR\l.moreau,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
2026-07-16T12:14:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\t.silvestri,User,2,10.42.11.234,Kerberos,0xA74DF74,NORTHSTAR\t.silvestri,NORTHSTAR\t.silvestri,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
2026-07-16T12:16:26.0000000Z,NSH-RSCH-WS041,4624,NORTHSTAR\h.nakamura,User,2,10.42.18.126,Kerberos,0x8CB85E7,NORTHSTAR\h.nakamura,NORTHSTAR\h.nakamura,NSH-RSCH-WS041,C:\Windows\System32\lsass.exe,,,NSH-RSCH-WS041
